Fecha,Registro
1928-01-01,15.19999980926514
1928-01-02,7.599999904632568
1928-01-03,33
1928-01-04,5.099999904632568
1928-01-14,15.19999980926514
1928-01-15,5.099999904632568
1929-01-01,1.299999952316284
1929-01-03,2
1929-01-12,50.79999923706055
1929-01-13,3.799999952316284
1929-01-14,2.5
1929-01-23,7.599999904632568
1929-01-29,7.599999904632568
1930-01-04,15.19999980926514
1930-01-11,2.5
1930-01-13,15.19999980926514
1930-01-15,12.69999980926514
1930-01-16,12.69999980926514
1930-01-25,5.099999904632568
1930-01-30,7.599999904632568
1930-01-31,1.299999952316284
1931-01-01,43.20000076293945
1931-01-05,14.5
1931-01-08,7.599999904632568
1931-01-14,2.5
1931-01-20,15.19999980926514
1932-01-02,5.099999904632568
1932-01-10,8.899999618530273
1932-01-15,1.299999952316284
1932-01-19,22.89999961853027
1932-01-23,8.899999618530273
1932-01-29,1.299999952316284
1933-01-15,16.5
1933-01-16,6.300000190734863
1934-01-10,10.19999980926514
1934-01-18,17.79999923706055
1934-01-19,10.19999980926514
1935-01-04,6.400000095367432
1935-01-05,2.5
1936-01-22,5.099999904632568
1936-01-23,38.09999847412109
1936-01-30,0.5
1936-01-31,7.599999904632568
1937-01-11,17.79999923706055
1939-01-16,38.09999847412109
1939-01-26,5.099999904632568
1940-01-17,20.29999923706055
1940-01-18,15.19999980926514
1941-01-19,55.90000152587891
1941-01-23,10.19999980926514
1942-01-10,15.19999980926514
1942-01-13,10.19999980926514
1942-01-19,15.19999980926514
1943-01-01,15.19999980926514
1943-01-04,5.099999904632568
1943-01-07,2.5
1943-01-08,15.19999980926514
1944-01-15,3.799999952316284
1944-01-16,3.799999952316284
1944-01-17,43.20000076293945
1945-01-08,25.39999961853027
1946-01-24,1
1946-01-27,5.099999904632568
1947-01-16,2.5
1947-01-21,10.19999980926514
1947-01-22,15.19999980926514
1948-01-17,7.599999904632568
1952-01-27,24.10000038146973
1953-01-31,33
1958-01-02,12.69999980926514
1958-01-07,83.80000305175781
1958-01-13,38.09999847412109
1958-01-15,5.099999904632568
1958-01-24,12.69999980926514
1961-01-10,15.19999980926514
1964-01-19,27.5
1966-01-11,27
1966-01-12,9
1966-01-15,7.300000190734863
1966-01-28,27
1966-01-29,5
1967-01-03,3
1967-01-08,5
1967-01-24,3
1968-01-13,24
1969-01-01,10
1969-01-02,3
1969-01-06,6
1969-01-07,8
1969-01-10,9
1969-01-11,68
1969-01-16,3
1969-01-21,15
1969-01-23,36
1970-01-05,30
1970-01-07,22
1970-01-08,16
1970-01-31,7
1973-01-12,23
1973-01-17,8
1973-01-18,15
1973-01-29,7
1975-01-15,13
1977-01-17,4
1977-01-31,30
1978-01-09,10
1978-01-10,2
1978-01-14,5
1979-01-03,16
1979-01-04,6
1979-01-05,4
1979-01-10,30
1979-01-11,15
1979-01-22,11
1979-01-25,13
1982-01-15,23
1983-01-25,7
1983-01-26,130
1983-01-27,51
1984-01-08,7
1984-01-15,9
1984-01-21,15
1984-01-29,23
1985-01-20,26
1987-01-04,42
1987-01-23,4
1987-01-25,7
1988-01-03,12
1988-01-11,3
1988-01-23,10
1988-01-25,15.30000019073486
1991-01-03,50
1991-01-05,14
1991-01-12,22
1991-01-21,20.5
1993-01-07,8.1
1994-01-04,13.2
1994-01-14,5.8
1994-01-15,18.5
1994-01-19,8.2
1994-01-21,4
1994-01-22,18.5
1995-01-14,19
1996-01-05,9
1996-01-07,20.4
1996-01-12,27
1996-01-17,12
1997-01-29,5.3
1998-01-15,20.4
1998-01-24,12
1998-01-25,27
1998-01-27,50
1999-01-10,36
1999-01-11,25
2000-01-02,4.8
2000-01-24,56
2001-01-20,20
2001-01-21,28.5
2001-01-22,22.5
2007-01-26,15
2008-01-12,188
2008-01-22,11
2008-01-26,7
2009-01-09,7
2009-01-10,2.5
2009-01-31,11.5
2010-01-04,3
2010-01-09,5
2011-01-24,7.2
2011-01-25,1
2011-01-28,1
2013-01-04,4.6
2013-01-06,11.5
2013-01-18,5
2013-01-28,1.8
2015-01-12,1.2
2015-01-17,3.5
2015-01-18,2.8
1966-01-09,3
1966-01-11,43
1966-01-12,3
1966-01-26,2
1966-01-29,51
1967-01-08,9
1967-01-23,20
1967-01-24,44
1969-01-10,18
1969-01-11,51
1969-01-22,2
1969-01-23,30
